Clicks;Month
134288;February
140994;February
143458;February
92990;February
98363;February
112722;February
94350;February
60217;February
51254;February
53648;February
53902;February
48291;February
44089;February
42445;February
38665;February
37873;February
41982;February
34010;February
33462;February
29674;February
29599;February
26949;February
33076;February
24934;February
22312;February
24800;February
21486;February
34413;February
22516;February
22596;February
23917;February
24582;February
19764;February
18510;February
12676;February
17621;February
16701;February
17239;February
20422;February
11613;February
14976;February
13047;February
11643;February
3907;February
12765;February
12755;February
11596;February
11309;February
9787;February
7222;February
10945;February
11253;February
10412;February
9202;February
8124;February
9131;February
7515;February
10369;February
6929;February
9186;February
7342;February
6494;February
4690;February
7832;February
3682;February
7562;February
6012;February
4537;February
4903;February
5493;February
5627;February
3944;February
4692;February
3756;February
3683;February
4297;February
4614;February
3222;February
2954;February
3474;February
3037;February
3651;February
2420;February
2692;February
2876;February
2504;February
2178;February
3680;February
3325;February
3403;February
3026;February
3589;February
2890;February
1845;February
2326;February
2059;February
2293;February
1830;February
1104;February
1900;February
2195;February
2077;February
1952;February
1667;February
2207;February
2050;February
1797;February
2513;February
1013;February
1378;February
1586;February
1863;February
1108;February
1677;February
1417;February
1154;February
1105;February
1274;February
1301;February
1250;February
622;February
1567;February
1305;February
1265;February
1247;February
975;February
988;February
965;February
803;February
653;February
1072;February
743;February
701;February
505;February
402;February
522;February
395;February
409;February
484;February
412;February
355;February
330;February
231;February
143783;March
155329;March
159350;March
110620;March
114078;March
113192;March
105707;March
62049;March
60740;March
61577;March
64157;March
58080;March
51463;March
45182;March
39137;March
39012;March
51458;March
33303;March
37322;March
36214;March
32056;March
31181;March
41037;March
28530;March
24904;March
27944;March
25873;March
39073;March
24722;March
25809;March
29917;March
24034;March
23313;March
19974;March
17110;March
20945;March
20434;March
18076;March
20085;March
16645;March
16667;March
15542;March
14095;March
6815;March
14333;March
15851;March
12326;March
12650;March
14548;March
10160;March
11326;March
12306;March
12091;March
9803;March
8901;March
9349;March
8816;March
11292;March
7996;March
11391;March
8769;March
7842;March
5615;March
9525;March
4069;March
8853;March
6899;March
6024;March
5364;March
6324;March
5933;March
4160;March
4723;March
5068;March
4573;March
5382;March
4937;March
3714;March
3419;March
3757;March
3783;March
4377;March
2825;March
2954;March
4109;March
3255;March
2746;March
3852;March
2780;March
3322;March
3225;March
3923;March
3636;March
2172;March
2681;March
2360;March
2736;March
2183;March
1565;March
2172;March
2081;March
2104;March
2175;March
1584;March
2379;March
1994;March
2027;March
2900;March
1262;March
1524;March
1582;March
1846;March
1312;March
1771;March
1799;March
1307;March
1529;March
1389;March
1447;March
1426;March
539;March
1603;March
1597;March
1082;March
1311;March
1076;March
1075;March
986;March
856;March
686;March
1150;March
820;March
938;March
598;March
435;March
579;March
302;March
468;March
514;March
465;March
393;March
353;March
268;March
127115;April
127053;April
146895;April
106936;April
105954;April
105270;April
95581;April
52581;April
58221;April
51218;April
58407;April
52597;April
45944;April
35521;April
36116;April
33770;April
42911;April
30220;April
34558;April
33808;April
28608;April
28535;April
32858;April
26985;April
36799;April
24253;April
24051;April
35463;April
21164;April
23805;April
25726;April
22545;April
19213;April
18488;April
21046;April
19534;April
21338;April
15348;April
18758;April
17111;April
14989;April
14791;April
12451;April
5718;April
13519;April
14185;April
10411;April
11315;April
24336;April
13091;April
11363;April
11193;April
11433;April
10034;April
13991;April
8930;April
8461;April
9967;April
8016;April
10542;April
7784;April
7071;April
5867;April
9146;April
3884;April
8084;April
6619;April
6232;April
5113;April
5405;April
5433;April
3446;April
3985;April
4610;April
4177;April
4737;April
5161;April
3438;April
2969;April
3485;April
3567;April
3316;April
2579;April
2862;April
4004;April
3026;April
5516;April
3849;April
3549;April
2885;April
3094;April
3976;April
3302;April
2320;April
2582;April
3125;April
2730;April
3719;April
2128;April
2386;April
2589;April
2018;April
1877;April
1616;April
2147;April
2284;April
1925;April
2199;April
1088;April
1476;April
1478;April
1599;April
1298;April
1708;April
1829;April
1505;April
1274;April
1252;April
1462;April
1848;April
457;April
1650;April
1525;April
1046;April
1159;April
1043;April
1249;April
932;April
1010;April
723;April
959;April
730;April
892;April
541;April
461;April
608;April
324;April
450;April
389;April
573;April
461;April
351;April
246;April
